# source_file=20251214_154520_glider_ble.csv
# total_time_s=12.920000
# distance_path_m=0.000203
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
95.088,95088.0,0.024999999999991473,0.9994721017917412,0.012044001226627389,-0.005770000587648625,-0.029617003016358636,1.3992158495210945,-0.61998078221197,-3.4022284325601837,0.071672,0.080482,0.067383,0.13850325614668163,0.023773612256109376,0.010076288660419687,4.255973855211342,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.11,95110.0,0.02200000000000557,0.9994539357945815,0.012708999183567566,-0.006399999588860841,-0.029821998084219998,1.4776906234387108,-0.6895710130248578,-3.4270949845875918,0.200832,0.142263,0.011456,0.16734944283565154,0.08342858199049605,-0.003091806890067033,3.0708630173524236,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.133,95133.0,0.022999999999996135,0.9994471335666236,0.013869001853460466,-0.006110000816543619,-0.029593003954824112,1.609427637859146,-0.6527502580093023,-3.4011618055526913,-0.022804,0.157083,0.049244,0.06987882414238479,0.12188485591896517,0.009067425466117546,4.58633901559655,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.158,95158.0,0.025000000000005684,0.9994595361004642,0.013025993953979796,-0.006076997179359375,-0.02956398627786417,1.5127234054978325,-0.6518810361334405,-3.3972332282704025,-0.000605,-0.109175,-0.010737,0.03104337806747002,0.002352205523133616,-0.01605024766968334,5.126736800147113,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.177,95177.0,0.019000000000005457,0.9994538457278144,0.012689998041216469,-0.0068889989366383185,-0.02972399541190846,1.4771259497346236,-0.7457873987880128,-3.4165901581523914,0.358688,-0.179767,0.041953,0.1785285450285285,-0.07927276031816725,-0.002462962235767207,8.900671307056758,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.207,95207.0,0.029999999999986926,0.9994201759134576,0.013258002333614117,-0.006402001126851529,-0.030701005403853295,1.5411934651440053,-0.6865636916139846,-3.52824507172659,0.217436,0.000179,0.063527,0.1985735186219994,-0.03247255204700772,0.019059133028888023,1.8424805276131937,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.227,95227.0,0.020000000000010232,0.9994103277741604,0.013100004296376365,-0.007411002430568339,-0.030862010121737966,1.526804339066041,-0.8024352781959669,-3.5481806863256122,0.03127,-0.014152,0.041709,0.11856012489951029,-0.02258029924937498,0.016482024455468855,4.033187737074381,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.247,95247.0,0.01999999999999602,0.9994143691397619,0.013552005005515285,-0.0066080024407058,-0.03071801134588389,1.5756154904725237,-0.7090925569835567,-3.530729620935032,-0.115141,0.073111,0.032352,0.007473653183501211,0.023520295942258487,0.01073202898300436,6.020492405790757,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.271,95271.0,0.02400000000000091,0.999430477024653,0.013484992943662392,-0.00581999695455062,-0.030380984102440275,1.5649341274639346,-0.6196080607907017,-3.490778212487334,-0.363623,-0.057307,0.062871,-0.18497622608795203,-0.01653919009535548,0.023047367150551598,8.206681941261174,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.295,95295.0,0.02400000000000091,0.9994058677596237,0.014006998146608135,-0.00524299930625162,-0.031051995891231227,1.6230782790722837,-0.5506139286713969,-3.567066423753939,0.319021,-0.197874,0.014514,0.07195048155131498,-0.1082111084138359,0.004206358677525536,11.39338085331927,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.318,95318.0,0.022999999999996135,0.9993942638736002,0.013421003543595007,-0.004584001210330043,-0.031780008390987956,1.553939929015769,-0.4760995918519952,-3.6491571410550456,-0.046498,-0.034955,-0.025,0.010538961790853285,-0.06995513701477094,-0.02464045600587298,3.3865721789955057,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.343,95343.0,0.025000000000005684,0.999389193323863,0.01283500248282879,-0.00430900083354182,-0.03221700623212272,1.4860041614028334,-0.4460938058553962,-3.698559718599485,-0.082632,-0.123033,0.069174,-0.04017794577538698,-0.09627698982308465,0.00974511828487229,2.667556895032586,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.368,95368.0,0.024999999999991473,0.9993823132949115,0.01332300417660925,-0.0035290011063014368,-0.03232701013414751,1.5390482123517402,-0.354792447482585,-3.710165493466926,-0.400992,0.14188,0.017477,-0.2310619888103222,0.029923513524299436,-0.0009515389230146214,9.163204976945996,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.396,95396.0,0.028000000000005798,0.999334217978301,0.014070003068998648,-0.0027360005967860916,-0.033551007318263944,1.6219823733248413,-0.2592203110578009,-3.8494485088141506,0.133302,-0.226348,0.050075,-0.03200557783264518,-0.10995065398042007,0.011669687709728063,8.700481810501982,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
95.416,95416.0,0.01999999999999602,0.9993067826223181,0.013387997087729394,-0.0035299992321246457,-0.034557992482652546,1.5472840727985686,-0.35121270819068773,-3.9659653177750305,0.156145,-0.08086,0.006458,0.05432818283023548,-0.09501815596707222,-0.003946208105520826,4.449818515745911,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
