raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"122808,0.652513,-0.053902,-0.074117,0.752215,0.014893,-0.184570,0.987305,0.000000,0.003196,-0.001065,-33.000000,-27.000000,11.000000"
"122823,0.652428,-0.054868,-0.073814,0.752249,0.015137,-0.182983,0.988037,-0.004261,0.002131,0.000000,0.000000,0.000000,0.000000"
"122847,0.652376,-0.055405,-0.074629,0.752174,0.014038,-0.184692,0.986084,0.000000,0.004261,0.000000,0.000000,0.000000,0.000000"
"122872,0.652468,-0.054445,-0.074612,0.752166,0.016479,-0.183228,0.987305,-0.004261,0.004261,0.000000,0.000000,0.000000,0.000000"
"122890,0.652022,-0.054482,-0.074341,0.752578,0.016968,-0.184204,0.986938,0.006392,0.004261,0.001065,-33.000000,-27.000000,14.000000"
"122915,0.652002,-0.054602,-0.075313,0.752489,0.015625,-0.184570,0.986938,-0.002131,0.004261,0.001065,0.000000,0.000000,0.000000"
"122937,0.652032,-0.054343,-0.074347,0.752578,0.014526,-0.182007,0.987549,0.002131,0.004261,0.001065,0.000000,0.000000,0.000000"
"122956,0.651949,-0.055301,-0.074634,0.752552,0.013916,-0.185425,0.985840,-0.001065,0.004261,-0.001065,0.000000,0.000000,0.000000"
"122975,0.652041,-0.054413,-0.074232,0.752577,0.015137,-0.183105,0.986816,0.000000,0.004261,-0.001065,0.000000,0.000000,0.000000"
"123004,0.651595,-0.054460,-0.074015,0.752980,0.016724,-0.185425,0.985596,0.001065,0.004261,0.000000,-33.000000,-27.000000,12.000000"
"123023,0.651676,-0.053578,-0.074432,0.752933,0.016235,-0.182861,0.987915,0.001065,0.004261,0.000000,0.000000,0.000000,0.000000"
"123042,0.651600,-0.054342,-0.074995,0.752888,0.015747,-0.185669,0.985718,0.007457,0.004261,0.001065,0.000000,0.000000,0.000000"
"123129,0.651139,-0.054381,-0.074808,0.753302,0.014893,-0.184814,0.988281,-0.001065,0.004261,0.000000,-35.000000,-26.000000,10.000000"
"123147,0.651160,-0.054096,-0.075741,0.753211,0.017212,-0.185303,0.986816,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000"
"123176,0.651167,-0.054131,-0.074746,0.753302,0.015747,-0.183716,0.987061,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000"
"123199,0.650712,-0.054172,-0.074520,0.753715,0.013550,-0.186279,0.987061,0.002131,0.003196,0.000000,-34.000000,-26.000000,12.000000"
"123218,0.650804,-0.053243,-0.074683,0.753685,0.015747,-0.183105,0.985840,-0.011718,0.004261,-0.001065,0.000000,0.000000,0.000000"
