mass_kg,c_upper_m,c_lower_m,span_m,total_chord_m,wing_area_m2,Vstall_m_s
0.1,0.007,0.021,1.15,0.028,0.025289820861397833,7.054441253508004
0.1,0.007,0.021,1.175,0.028,0.02583959957577605,6.978990514642358
0.1,0.007,0.021,1.2000000000000002,0.028,0.026389378290154267,6.905910066088013
0.1,0.007,0.021,1.225,0.028,0.02693915700453248,6.83507834683759
0.1,0.007,0.021,1.25,0.028,0.02748893571891069,6.766382348586276
0.1,0.007,0.021,1.275,0.028,0.0280387144332889,6.69971685729344
0.1,0.007,0.021,1.3,0.028,0.028588493147667118,6.634983775359846
0.1,0.007,0.021,1.3250000000000002,0.028,0.029138271862045335,6.572091514485591
0.1,0.007,0.021,1.35,0.028,0.029688050576423545,6.510954450660365
0.1,0.007,0.021,1.375,0.028,0.030237829290801755,6.451492433908743
0.1,0.007,0.021,1.4,0.028,0.030787608005179972,6.393630346405873
0.1,0.007,0.021,1.425,0.028,0.03133738671955819,6.337297703422725
0.1,0.007,0.021,1.4500000000000002,0.028,0.03188716543393641,6.282428292279814
0.1,0.007,0.021,1.475,0.028,0.03243694414831462,6.228959845103771
0.1,0.007,0.021,1.5,0.028,0.03298672286269283,6.176833741709146
0.1,0.0075,0.0225,0.5,0.03,0.011780972450961723,10.335819764469894
0.1,0.0075,0.0225,0.525,0.03,0.01237002107350981,10.086727262129061
0.1,0.0075,0.0225,0.55,0.03,0.012959069696057897,9.854817474607232
0.1,0.0075,0.0225,0.575,0.03,0.013548118318605981,9.638201627473444
0.1,0.0075,0.0225,0.6,0.03,0.01413716694115407,9.435269392179823
0.1,0.0075,0.0225,0.625,0.03,0.014726215563702155,9.24463823861622
0.1,0.0075,0.0225,0.65,0.03,0.015315264186250241,9.06511361054041
0.1,0.0075,0.0225,0.675,0.03,0.015904312808798327,8.895657292709636
0.1,0.0075,0.0225,0.7,0.03,0.016493361431346415,8.735362050048824
0.1,0.0075,0.0225,0.725,0.03,0.0170824100538945,8.58343112022172
