raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"123756,0.182965,0.003562,-0.007655,0.983083,0.012253,-0.002882,1.009598,0.004437,0.005812,0.010072,0.000000,0.000000,0.000000"
"123797,0.182493,0.003735,-0.007277,0.983173,0.011765,-0.002192,1.009451,0.002015,-0.003664,0.019140,-55.000000,-21.000000,25.000000"
"123832,0.182446,0.009213,0.002722,0.983169,0.012728,-0.005007,1.009503,-0.004939,0.000228,0.006439,0.000000,0.000000,0.000000"
"123876,0.182078,0.002163,-0.006563,0.983260,0.011162,-0.002648,1.009970,-0.014640,-0.009850,0.016625,0.000000,0.000000,0.000000"
"123908,0.182313,0.002592,-0.007109,0.983211,0.010760,-0.004035,1.009093,-0.025041,-0.017184,0.015289,-52.000000,-23.000000,25.000000"
"123948,0.182242,0.007556,0.003101,0.983220,0.010747,-0.002397,1.010500,-0.007933,0.002299,0.007028,0.000000,0.000000,0.000000"
"123988,0.182373,0.007429,0.002568,0.983198,0.012011,-0.002973,1.009683,-0.005916,0.000972,0.006490,-54.000000,-22.000000,26.000000"
"124025,0.181976,0.002570,-0.009397,0.983255,0.011695,-0.001729,1.010212,-0.005381,-0.008326,0.015292,0.000000,0.000000,0.000000"
"124071,0.181781,0.006242,0.002865,0.983315,0.009940,-0.003953,1.007352,-0.005254,-0.003200,0.012492,0.000000,0.000000,0.000000"
"124117,0.182212,0.006036,0.002371,0.983238,0.010628,-0.002827,1.009058,0.001121,0.009875,0.005503,-53.000000,-23.000000,27.000000"
"124150,0.182108,0.003879,-0.010179,0.983218,0.011459,-0.004857,1.007738,-0.002081,0.010856,0.001246,0.000000,0.000000,0.000000"
"124197,0.182501,0.003977,-0.010098,0.983146,0.011561,-0.001696,1.010610,-0.007586,0.000777,0.010560,-53.000000,-24.000000,26.000000"
"124229,0.182287,0.006042,0.000882,0.983226,0.011588,-0.001706,1.009531,-0.013730,-0.002582,0.015305,0.000000,0.000000,0.000000"
"124268,0.181825,0.005008,-0.012183,0.983243,0.012338,-0.002730,1.009338,-0.020221,-0.005093,0.018182,0.000000,0.000000,0.000000"
"124311,0.181569,0.005102,-0.011881,0.983293,0.012150,-0.001699,1.009293,-0.013821,-0.005678,0.010939,-54.000000,-21.000000,23.000000"
"124348,0.181332,0.005129,-0.000483,0.983408,0.010651,-0.001616,1.008737,-0.004261,-0.005829,0.016201,0.000000,0.000000,0.000000"
"124386,0.181370,0.005109,-0.000788,0.983401,0.011087,-0.003065,1.008500,-0.004178,0.001351,0.011154,-54.000000,-22.000000,25.000000"
"124430,0.181154,-0.003018,-0.010448,0.983395,0.009620,-0.001108,1.008534,-0.001729,0.001522,0.007469,0.000000,0.000000,0.000000"
"124469,0.180956,0.004547,-0.001476,0.983480,0.009910,-0.001646,1.009904,0.014692,0.005523,0.013732,0.000000,0.000000,0.000000"
