raw_line
=== RAM LOG DUMP BEGIN ===
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"124008,0.846874,-0.348983,0.154850,0.370184,0.103271,-0.240234,1.270142,0.116114,-0.851146,-0.362190,-30.000000,-21.000000,41.000000"
"124029,0.847117,-0.349715,0.156691,0.368157,0.041992,0.140625,1.030884,-0.018109,0.605070,-0.265251,0.000000,0.000000,0.000000"
"124050,0.848024,-0.349290,0.155853,0.366827,-0.120972,-0.042114,0.981323,0.004261,0.000000,-0.346211,0.000000,0.000000,0.000000"
"124075,0.849291,-0.348974,0.154753,0.364656,-0.080688,-0.017334,1.001099,0.019175,0.011718,-0.534763,0.000000,0.000000,0.000000"
"124097,0.850178,-0.348456,0.154008,0.363396,-0.062500,-0.012817,1.021851,0.009587,0.002131,-0.333428,-30.000000,-22.000000,39.000000"
"124122,0.851075,-0.348010,0.153139,0.362089,-0.050903,-0.035156,0.984497,0.008522,-0.004261,-0.335558,0.000000,0.000000,0.000000"
"124150,0.853230,-0.347858,0.150968,0.358054,-0.073730,-0.078735,1.007935,0.036219,-0.051133,-0.987500,0.000000,0.000000,0.000000"
"124175,0.855570,-0.347634,0.148505,0.353690,-0.066406,0.017334,1.016968,0.042611,-0.098004,-1.085504,0.000000,0.000000,0.000000"
"124201,0.856845,-0.346855,0.147026,0.351984,-0.020020,0.127563,1.000610,0.026632,-0.151268,-0.506001,-33.000000,-15.000000,40.000000"
"124230,0.856910,-0.346129,0.146936,0.352577,-0.026123,-0.014160,0.993774,-0.005326,0.000000,0.110787,0.000000,0.000000,0.000000"
"124250,0.857196,-0.345454,0.146654,0.352661,-0.042725,0.003540,1.000732,0.000000,-0.003196,-0.010653,0.000000,0.000000,0.000000"
"124272,0.857455,-0.344785,0.146399,0.352790,-0.039917,0.003052,1.000854,-0.002131,0.000000,0.001065,0.000000,0.000000,0.000000"
"124297,0.858354,-0.344272,0.145667,0.351406,-0.090576,-0.126587,0.992432,0.013848,0.019175,-0.346211,-34.000000,-27.000000,44.000000"
"124322,0.860736,-0.344180,0.143318,0.346603,-0.065186,-0.159058,1.002686,0.053263,-0.027697,-1.137702,0.000000,0.000000,0.000000"
"124350,0.862426,-0.344043,0.141872,0.343114,0.018921,0.017822,1.000000,0.028762,0.042611,-0.812797,0.000000,0.000000,0.000000"
"124375,0.865242,-0.342791,0.141001,0.337593,-0.014160,0.081177,0.983032,0.387756,0.164051,-1.179248,0.000000,0.000000,0.000000"
"124401,0.869535,-0.339675,0.141437,0.329433,-0.102417,0.116333,1.009888,0.944889,0.370712,-1.633050,-37.000000,-22.000000,46.000000"
"124421,0.872860,-0.339390,0.139430,0.321696,-0.059937,0.010376,1.000122,0.241815,0.165116,-1.700162,0.000000,0.000000,0.000000"
"124446,0.877424,-0.341324,0.134068,0.309275,-0.051147,-0.148560,0.998779,-0.134223,0.020240,-2.866626,0.000000,0.000000,0.000000"
